City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,urucara,-2.5364,-57.76,33.48,44,4,2.67,BR,1685637000
1,pokhara,28.2333,83.9833,24.91,36,36,3.17,NP,1685637000
2,longyearbyen,78.2186,15.6401,1.91,60,20,4.63,SJ,1685636892
3,tiksi,71.6872,128.8694,2.29,63,80,2.99,RU,1685637001
4,mejit,10.2753,170.8646,27.5,77,100,6.76,MH,1685637001
5,adamstown,-25.066,-130.1015,24.3,86,100,11.98,PN,1685637001
6,margaret river,-33.95,115.0667,12.87,70,88,3.55,AU,1685637001
7,walvis bay,-22.9575,14.5053,14.49,76,6,1.32,NA,1685637001
8,san antonio de pale,-1.4014,5.6325,26.53,83,69,3.62,GQ,1685637001
9,hawaiian paradise park,19.5933,-154.9731,21.69,97,0,2.57,US,1685637002
10,puerto ayora,-0.7393,-90.3518,27.98,88,60,1.79,EC,1685637003
11,port-aux-francais,-49.35,70.2167,2.03,64,98,18.4,TF,1685637003
12,bodo,67.28,14.405,7.19,77,40,5.14,NO,1685637003
13,invercargill,-46.4,168.35,6.54,92,58,6.0,NZ,1685637004
14,balykshi,47.0667,51.8667,24.0,73,40,7.0,KZ,1685637004
15,prainha,-1.8,-53.48,31.75,51,32,2.66,BR,1685637007
16,asifabad,19.3667,79.2833,35.75,17,24,2.12,IN,1685637008
17,portland,45.5234,-122.6762,15.29,71,75,1.54,US,1685636805
18,bethel,41.3712,-73.414,31.34,48,0,2.06,US,1685637008
19,borisoglebsk,51.3671,42.0849,17.0,70,35,1.88,RU,1685636164
20,namibe,-15.1961,12.1522,20.55,71,5,5.18,AO,1685637008
21,arish,31.1316,33.7984,25.57,57,82,7.78,EG,1685636773
22,tolanaro,-25.0319,46.9987,22.04,78,20,5.14,MG,1685636890
23,lihue,21.9789,-159.3672,23.77,87,75,4.63,US,1685637010
24,iqaluit,63.7506,-68.5145,-2.15,74,100,7.2,CA,1685637012
25,enewetak,11.3474,162.3373,27.72,72,98,8.84,MH,1685637012
26,kani keli,-12.9536,45.1033,25.59,64,3,4.18,YT,1685637013
27,hermanus,-34.4187,19.2345,16.56,91,53,1.79,ZA,1685637013
28,touros,-5.1989,-35.4608,28.93,68,30,6.28,BR,1685637013
29,grytviken,-54.2811,-36.5092,2.62,95,58,0.92,GS,1685637013
30,blackmans bay,-43.0167,147.3167,8.07,80,98,2.76,AU,1685637013
31,yarega,63.4354,53.5765,12.71,76,97,3.68,RU,1685637013
32,edinburgh of the seven seas,-37.0676,-12.3116,12.25,59,85,15.52,SH,1685636876
33,banda aceh,5.5577,95.3222,26.96,82,100,4.98,ID,1685637014
34,klyuchi,52.2667,79.1667,18.54,40,40,2.1,RU,1685637014
35,ushuaia,-54.8,-68.3,9.81,43,20,4.63,AR,1685636908
36,fort mcmurray,56.7268,-111.381,17.77,77,0,1.54,CA,1685637014
37,albany,42.6001,-73.9662,30.37,45,0,0.45,US,1685637014
38,ilha de mocambique,-15.0342,40.7358,26.48,69,1,4.06,MZ,1685637014
39,luena,-11.7833,19.9167,23.25,36,35,1.6,AO,1685637014
40,nova sintra,14.8667,-24.7167,20.48,74,95,5.14,CV,1685637014
41,san patricio,28.017,-97.5169,31.92,57,57,6.57,US,1685637014
42,iskateley,67.6803,53.1512,12.02,86,100,4.5,RU,1685637014
43,axim,4.8699,-2.2405,26.08,87,100,4.26,GH,1685637014
44,kingston,17.997,-76.7936,31.25,73,75,8.23,JM,1685637015
45,whitehorse,60.7161,-135.0538,7.83,51,20,3.6,CA,1685637015
46,auki,-8.7676,160.7034,25.61,86,88,1.38,SB,1685637015
47,klaksvik,62.2266,-6.589,8.51,71,19,6.16,FO,1685637015
48,waitangi,-43.9535,-176.5597,11.01,90,10,1.79,NZ,1685637015
49,badger,64.8,-147.5333,5.14,66,75,2.57,US,1685637015
50,codrington,-38.2667,141.9667,7.56,73,100,2.7,AU,1685637015
51,lingyuan,41.24,119.4011,14.42,70,75,2.28,CN,1685636993
52,campos belos,-13.0367,-46.7717,33.54,28,76,1.91,BR,1685637015
53,stanley,54.868,-1.6985,12.1,78,78,5.39,GB,1685637015
54,holualoa,19.6228,-155.9522,22.65,82,0,2.06,US,1685637015
55,tazacorte,28.629,-17.9293,25.54,81,20,4.63,ES,1685637015
56,la ronge,55.1001,-105.2842,18.12,72,100,4.63,CA,1685637016
57,bilibino,68.0546,166.4372,0.51,48,16,2.1,RU,1685637016
58,jinghong,21.991,100.7341,26.36,65,38,1.2,CN,1685636890
59,vorgashor,67.5833,63.95,12.22,81,97,2.35,RU,1685637016
60,yuzhno-kurilsk,44.0306,145.8556,10.23,93,89,5.01,RU,1685637016
61,dondo,-19.6094,34.7431,24.73,84,9,2.93,MZ,1685637016
62,ust-nera,64.5667,143.2,6.32,84,43,2.8,RU,1685637016
63,fort bragg,35.139,-79.006,25.08,67,75,6.69,US,1685637016
64,puerto armuelles,8.2833,-82.8667,29.99,82,100,1.79,PA,1685637016
65,tezu,27.9167,96.1667,26.84,60,2,2.31,IN,1685637016
66,sisimiut,66.9395,-53.6735,-0.08,91,100,4.1,GL,1685636983
67,toliara,-23.35,43.6667,22.29,64,64,1.2,MG,1685637016
68,taiyuan,37.8694,112.5603,16.92,36,0,3.0,CN,1685636879
69,papatowai,-46.5619,169.4708,6.98,87,14,8.05,NZ,1685637017
70,jamestown,42.097,-79.2353,28.07,41,0,0.0,US,1685637017
71,georgetown,5.4112,100.3354,30.53,79,20,1.54,MY,1685636893
72,tsiombe,-25.3,45.4833,21.77,73,2,6.2,MG,1685637017
73,tucurui,-3.7661,-49.6725,31.62,56,3,1.83,BR,1685637017
74,i-n-salah,27.1935,2.4607,34.97,12,0,2.82,DZ,1685637017
75,college,64.8569,-147.8028,5.18,69,75,2.57,US,1685636766
76,illizi,26.4833,8.4667,33.89,14,0,5.22,DZ,1685637017
77,olonkinbyen,70.9221,-8.7187,1.18,97,100,8.24,SJ,1685636787
78,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1685637017
79,yellowknife,62.456,-114.3525,18.29,32,40,1.03,CA,1685637017
80,hilo,19.7297,-155.09,21.81,96,0,2.57,US,1685637017
81,bredasdorp,-34.5322,20.0403,16.16,90,92,1.93,ZA,1685637018
82,utrik,11.2278,169.8474,27.07,82,100,8.44,MH,1685637018
83,ribeira grande,38.5167,-28.7,21.22,78,20,4.12,PT,1685637018
84,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,100,75,3.0,RU,1685636769
85,rio grande,-32.035,-52.0986,25.06,70,14,2.27,BR,1685636845
86,piti village,13.4626,144.6933,26.49,90,100,3.09,GU,1685637018
87,hasaki,35.7333,140.8333,21.23,92,100,5.58,JP,1685637018
88,puerto natales,-51.7236,-72.4875,2.25,80,75,1.03,CL,1685637018
89,pisco,-13.7,-76.2167,22.03,68,75,3.09,PE,1685636916
90,howrah,22.5892,88.3103,33.0,79,20,5.14,IN,1685637018
91,kataba,13.9833,44.3833,19.64,67,91,1.73,YE,1685637018
92,kaimganj,27.5667,79.35,32.82,24,0,2.72,IN,1685637018
93,karasuk,53.7377,78.0403,19.8,33,5,3.48,RU,1685637018
94,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,5.14,EC,1685637019
95,carbondale,37.7273,-89.2168,31.14,58,0,2.57,US,1685637019
96,west island,-12.1568,96.8225,26.99,83,75,6.69,CC,1685637019
97,cabo san lucas,22.8909,-109.9124,30.9,49,0,4.12,MX,1685637019
98,acarau,-2.8856,-40.12,29.31,69,19,4.88,BR,1685637019
99,fale old settlement,-9.3852,-171.2468,28.54,76,17,4.72,TK,1685637019
100,ciudad insurgentes,25.2625,-111.7753,22.56,41,25,6.69,MX,1685637019
101,nuuk,64.1835,-51.7216,1.34,100,100,20.06,GL,1685637019
102,kavaratti,10.5669,72.642,29.82,69,100,3.51,IN,1685637019
103,leava,-14.3,-178.1667,28.15,78,73,8.72,WF,1685637019
